Pretrained,CUI,Title,description,Wiki,No + Title
1,C0010380,Croup,"Inflammation involving the GLOTTIS or VOCAL CORDS and the subglottic larynx. Croup is characterized by a barking cough, HOARSENESS, and persistent inspiratory STRIDOR (a high-pitched breathing sound). It occurs chiefly in infants and children. <p>Croup is an inflammation of the vocal cords (larynx) and windpipe (trachea). It causes difficulty breathing, a barking cough, and a hoarse voice. The cause is usually a virus, often <a href=""https://medlineplus.gov/viralinfections.html"">parainfluenza virus</a>. Other causes include <a href=""https://medlineplus.gov/allergy.html"">allergies</a> and <a href=""https://medlineplus.gov/gerd.html"">reflux</a>.</p> <p>Croup often starts out like a cold. But then the vocal cords and windpipe become swollen, causing the hoarseness and the cough. There may also be a fever and high-pitched noisy sounds when breathing. The symptoms are usually worse at night, and last for about three to five days. Children between the ages of 6 months and 3 years have the highest risk of getting croup. They may also have more severe symptoms. Croup is more common in the fall and winter.</p> <p>Most cases of viral croup are mild and can be treated at home. Rarely, croup can become serious and interfere with your child's breathing. If you are worried about your child's breathing, call your health care provider right away.</p> Acute upper respiratory airways infection that results in the swelling of the larynx. It is usually caused by parainfluenza viruses. Signs include a characteristic barking cough and stridor.","Croup, also known as laryngotracheobronchitis, is a type of respiratory infection that is usually caused by a virus.[2] The infection leads to swelling inside the trachea, which interferes with normal breathing and produces the classic symptoms of ""barking/brassy"" cough, inspiratory stridor and a hoarse voice.[2] Fever and runny nose may also be present.[2] These symptoms may be mild, moderate, or severe.[3] Often it starts or is worse at night and normally lasts one to two days",No Croup
1,C0035508,Rhonchi,"An abnormal sound similar to snoring heard on auscultation of the bronchial airways, suggesting a partial obstruction due to thick secretions, a muscular spasm, or a neoplasm. Abnormal breath sounds characterized by low-pitched, snoring or rattle-like sounds. [PMID:26229557, UToronto:chum]","Rhonchi are coarse rattling respiratory sounds, usually caused by secretions in bronchial airways. The sounds resemble snoring.",No Rhonchi
1,C0576456,Feeding poor,"Occurs either when an infant shows no interest in feeding or when there is an inability to take in adequate nutrition. Poor feeding is a nonspecific symptom of many disorders, including neurological, genetic, structural, metabolic, and infectious diseases.","A feeding disorder, in infancy or early childhood, is a child's refusal to eat certain food groups, textures, solids or liquids for a period of at least one month, which causes the child to not gain enough weight, grow naturally or cause any developmental delays.[1] Feeding disorders resemble failure to thrive, except that at times in feeding disorder there is no medical or physiological condition that can explain the very small amount of food the children consume or their lack of growth. Some of the times, a previous medical condition that has been resolved is causing the issue.",No Feeding poor
1,C1260880,Rhinorrhea,A discharge of fluid from the nose. Increased discharge of mucus from the nose. [],"Rhinorrhea, rhinorrhoea, or informally runny nose is the free discharge of a thin mucus fluid from the nose;[1] it is a common condition. It is a common symptom of allergies (hay fever) or certain viral infections, such as the common cold or COVID-19. It can be a side effect of crying, exposure to cold temperatures, cocaine abuse,[2] or drug withdrawal, such as from methadone or other opioids.[3] Treatment for rhinorrhea may be aimed at reducing symptoms or treating underlying causes. Rhinorrhea usually resolves without intervention, but may require treatment by a doctor if symptoms last more than 10 days or if symptoms are the result of foreign bodies in the nose.",No Rhinorrhea
1,C0008031,Chest pain,"Pressure, burning, or numbness in the chest. <p>Having a pain in your chest can be scary. It does not always mean that you are having a <a href=""https://medlineplus.gov/heartattack.html"">heart attack</a>. There can be many other causes, including:</p><ul> <li>Other heart problems, such as <a href=""https://medlineplus.gov/angina.html"">angina</a></li> <li><a href=""https://medlineplus.gov/panicdisorder.html"">Panic attacks</a></li> <li>Digestive problems, such as <a href=""https://medlineplus.gov/heartburn.html"">heartburn</a> or <a href=""https://medlineplus.gov/esophagusdisorders.html"">esophagus disorders</a></li> <li>Sore muscles</li> <li>Lung diseases, such as <a href=""https://medlineplus.gov/pneumonia.html"">pneumonia</a>, <a href=""https://medlineplus.gov/pleuraldisorders.html"">pleurisy</a>, or <a href=""https://medlineplus.gov/pulmonaryembolism.html"">pulmonary embolism</a></li> <li>Costochondritis - an inflammation of joints in your chest</li> </ul> <p>Some of these problems can be serious. Get immediate medical care if you have chest pain that does not go away, crushing pain or pressure in the chest, or chest pain along with nausea, sweating, dizziness or shortness of breath. Treatment depends on the cause of the pain.</p> Pain in the chest. An unpleasant sensation characterized by physical discomfort (such as pricking, throbbing, or aching) localized to the chest. [] Sensation of unpleasant feeling indicating potential or actual damage to some body structure felt in the chest. Sensation of unpleasant feeling indicating potential or actual damage to some body structure felt in the chest.","Chest pain is pain or discomfort in the chest, typically the front of the chest.[1] It may be described as sharp, dull, pressure, heaviness or squeezing.[3] Associated symptoms may include pain in the shoulder, arm, upper abdomen, or jaw, along with nausea, sweating, or shortness of breath.[1][3] It can be divided into heart-related and non-heart-related pain.[1][2] Pain due to insufficient blood flow to the heart is also called angina pectoris.[5] Those with diabetes or the elderly may have less clear symptoms.",No Chest pain
1,C0006277,Bronchitis,"Inflammation of the large airways in the lung including any part of the BRONCHI, from the PRIMARY BRONCHI to the TERTIARY BRONCHI. Inflammation of the large airways in the lung including any part of the bronchi from the primary bronchi to the tertiary bronchi. [HPO:probinson] An acute or chronic inflammatory process affecting the bronchi.","Bronchitis is inflammation of the bronchi (large and medium-sized airways) in the lungs that causes coughing. Bronchitis usually begins as an infection in the nose, ears, throat, or sinuses. The infection then makes its way down to the bronchi. Symptoms include coughing up sputum, wheezing, shortness of breath, and chest pain. Bronchitis can be acute or chronic",No Bronchitis
1,C0234866,barking cough,"A cough with a characteristic sound that has been compared to a seal's bark. [PMID:16936230, PMID:28613724]","A harsh cough that sounds somewhat like a dog barking, as with croup",No barking cough
1,C0231218,Malaise,"Malaise: a vague feeling of physical discomfort or apprehension. A feeling of general discomfort, weakness, or lack of health. [] A feeling of general discomfort or uneasiness, an out-of-sorts feeling.","As a medical term, malaise is a feeling of general discomfort, uneasiness or lack of wellbeing and often the first sign of an infection or other disease.",No Malaise
1,C0032285,Pneumonia,"Infection of the lung often accompanied by inflammation. <h3>What is pneumonia?</h3> <p>Pneumonia is an infection in one or both of the lungs. It causes the air sacs of the lungs to fill up with fluid or pus. It can range from mild to severe, depending on the type of germ causing the infection, your age, and your overall health.</p> <h3>What causes pneumonia?</h3> <p><a href=""https://medlineplus.gov/bacterialinfections.html"">Bacterial</a>, <a href=""https://medlineplus.gov/viralinfections.html"">viral</a>, and <a href=""https://medlineplus.gov/fungalinfections.html"">fungal</a> infections can cause pneumonia.</p> <p>Bacteria are the most common cause. Bacterial pneumonia can occur on its own. It can also develop after you've had certain viral infections such as a <a href=""https://medlineplus.gov/commoncold.html"">cold</a> or the <a href=""https://medlineplus.gov/flu.html"">flu</a>. Several different types of bacteria can cause pneumonia, including:</p><ul> <li><a href=""https://medlineplus.gov/pneumococcalinfections.html"">Streptococcus pneumoniae</a></li> <li>Legionella pneumophila; this pneumonia is often called <a href=""https://medlineplus.gov/legionnairesdisease.html"">Legionnaires' disease</a></li> <li>Mycoplasma pneumoniae</li> <li>Chlamydia pneumoniae</li> <li><a href=""https://medlineplus.gov/haemophilusinfections.html"">Haemophilus influenzae</a></li> </ul> <p>Viruses that infect the respiratory tract may cause pneumonia. Viral pneumonia is often mild and goes away on its own within a few weeks. But sometimes it is serious enough that you need to get treatment in a hospital. If you have viral pneumonia, you are at risk of also getting bacterial pneumonia. The different viruses that can cause pneumonia include:</p><ul> <li><a href=""https://medlineplus.gov/respiratorysyncytialvirusinfections.html"">Respiratory syncytial virus</a> (RSV)</li> <li>Some common cold and flu viruses</li> <li>SARS-CoV-2, the virus that causes <a href=""https://medlineplus.gov/covid19coronavirusdisease2019.html"">COVID-19</a></li> </ul> <p>Fungal pneumonia is more common in people who have chronic health problems or weakened immune systems. Some of the types include:</p><ul> <li><a href=""https://medlineplus.gov/pneumocystisinfections.html"">Pneumocystis pneumonia</a> (PCP)</li> <li>Coccidioidomycosis, which causes <a href=""https://medlineplus.gov/valleyfever.html"">valley fever</a></li> <li><a href=""https://medlineplus.gov/histoplasmosis.html"">Histoplasmosis</a></li> <li>Cryptococcus</li> </ul> <h3>Who is at risk for pneumonia?</h3> <p>Anyone can get pneumonia, but certain factors can increase your risk:</p><ul> <li>Age; the risk is higher for children who are age 2 and under and adults age 65 and older</li> <li>Exposure to certain chemicals, pollutants, or toxic fumes</li> <li>Lifestyle habits, such as <a href=""https://medlineplus.gov/smoking.html"">smoking</a>, <a href=""https://medlineplus.gov/alcohol.html"">heavy alcohol use</a>, and <a href=""https://medlineplus.gov/malnutrition.html"">malnourishment</a></li> <li>Being in a hospital, especially if you are in the <a href=""https://medlineplus.gov/criticalcare.html"">ICU</a>. Being sedated and/or on a ventilator raises the risk even more.</li> <li>Having a <a href=""https://medlineplus.gov/lungdiseases.html"">lung disease</a></li> <li>Having a weakened immune system</li> <li>Have trouble <a href=""https://medlineplus.gov/cough.html"">coughing</a> or <a href=""https://medlineplus.gov/swallowingdisorders.html"">swallowing</a>, from a <a href=""https://medlineplus.gov/stroke.html"">stroke</a> or other condition</li> <li>Recently being sick with a cold or the flu</li> </ul> <h3>What are the symptoms of pneumonia?</h3> <p>The symptoms of pneumonia can range from mild to severe and include:</p><ul> <li><a href=""https://medlineplus.gov/fever.html"">Fever</a></li> <li>Chills</li> <li>Cough, usually with phlegm (a slimy substance from deep in your lungs)</li> <li><a href=""https://medlineplus.gov/breathingproblems.html"">Shortness of breath</a></li> <li><a href=""https://medlineplus.gov/chestpain.html"">Chest pain</a> when you breathe or cough</li> <li><a href=""https://medlineplus.gov/nauseaandvomiting.html"">Nausea and/or vomiting</a></li> <li><a href=""https://medlineplus.gov/diarrhea.html"">Diarrhea</a></li> </ul> <p>The symptoms can vary for different groups. Newborns and infants may not show any signs of the infection. Others may vomit and have a fever and cough. They might seem sick, with no energy, or be restless.</p> <p>Older adults and people who have serious illnesses or weak immune systems may have fewer and milder symptoms. They may even have a lower than normal temperature. Older adults who have pneumonia sometimes have sudden changes in mental awareness.</p> <h3>What other problems can pneumonia cause?</h3> <p>Sometimes pneumonia can cause serious complications such as:</p><ul> <li>Bacteremia, which happens when the bacteria move into the bloodstream. It is serious and can lead to <a href=""https://medlineplus.gov/sepsis.html"">septic shock</a>.</li> <li>Lung <a href=""https://medlineplus.gov/abscess.html"">abscesses</a>, which are collections of pus in cavities of the lungs</li> <li><a href=""https://medlineplus.gov/pleuraldisorders.html"">Pleural disorders</a>, which are conditions that affect the pleura. The pleura is the tissue that covers the outside of the lungs and lines the inside of your chest cavity.</li> <li><a href=""https://medlineplus.gov/kidneyfailure.html"">Kidney failure</a></li> <li><a href=""https://medlineplus.gov/respiratoryfailure.html"">Respiratory failure</a></li> </ul> <h3>How is pneumonia diagnosed?</h3> <p>Sometimes pneumonia can be hard to diagnose. This is because it can cause some of the same symptoms as a cold or the flu. It may take time for you to realize that you have a more serious condition.</p> <p>Your health care provider may use many tools to make a diagnosis:</p><ul> <li>A medical history, which includes asking about your symptoms</li> <li>A physical exam, including listening to your lungs with a stethoscope</li> <li>Various tests, such as <ul> <li>A chest <a href=""https://medlineplus.gov/xrays.html"">x-ray</a></li> <li>Blood tests such as a <a href=""https://medlineplus.gov/lab-tests/complete-blood-count-cbc/"">complete blood count</a> (CBC) to see if your immune system is actively fighting an infection</li> <li>A <a href=""https://medlineplus.gov/lab-tests/bacteria-culture-test/"">Blood culture</a> to find out whether you have a bacterial infection that has spread to your bloodstream</li> </ul> </li> </ul> <p>If you are in the hospital, have serious symptoms, are older, or have other health problems, you may also have more tests, such as:</p><ul> <li>Sputum test, which checks for bacteria in a sample of your sputum (spit) or phlegm (slimy substance from deep in your lungs).</li> <li>Chest <a href=""https://medlineplus.gov/ctscans.html"">CT scan</a> to see how much of your lungs is affected. It may also show if you have complications such as lung abscesses or pleural effusions.</li> <li><a href=""https://medlineplus.gov/lab-tests/pleural-fluid-analysis/"">Pleural fluid culture</a>, which checks for bacteria in a fluid sample that was taken from the pleural space</li> <li>Pulse oximetry or <a href=""https://medlineplus.gov/lab-tests/blood-oxygen-level/"">blood oxygen level test,</a> to check how much oxygen is in your blood</li> <li>Bronchoscopy, a procedure used to look inside your lungs' airways</li> </ul> <h3>What are the treatments for pneumonia?</h3> <p>Treatment for pneumonia depends on the type of pneumonia, which germ is causing it, and how severe it is:</p><ul> <li><a href=""https://medlineplus.gov/antibiotics.html"">Antibiotics</a> treat bacterial pneumonia and some types of fungal pneumonia. They do not work for viral pneumonia.</li> <li>In some cases, your provider may prescribe antiviral medicines for viral pneumonia</li> <li>Antifungal medicines treat other types of fungal pneumonia</li> </ul> <p>You may need to be treated in a hospital if your symptoms are severe or if you are at risk for complications. While there, you may get additional treatments. For example, if your blood oxygen level is low, you may receive <a href=""https://medlineplus.gov/oxygentherapy.html"">oxygen therapy</a>.</p> <p>It may take time to recover from pneumonia. Some people feel better within a week. For other people, it can take a month or more.</p> <h3>Can pneumonia be prevented?</h3> <p>Vaccines can help prevent pneumonia caused by pneumococcal bacteria or the <a href=""https://medlineplus.gov/flushot.html"">flu virus</a>. Having <a href=""https://medlineplus.gov/germsandhygiene.html"">good hygiene</a>, not smoking, and having a <a href=""https://medlineplus.gov/healthyliving.html"">healthy lifestyle</a> may also help prevent pneumonia.</p> <p class="""">NIH: National Heart, Lung, and Blood Institute</p> Inflammation of any part of the lung parenchyma. [HPO:probinson] An acute, acute and chronic, or chronic inflammation focally or diffusely affecting the lung parenchyma, due to infections (viruses, fungi, mycoplasma, or bacteria), treatment (e.g. radiation), or exposure (inhalation) to chemicals. Symptoms include cough, shortness of breath, fevers, chills, chest pain, headache, sweating, and weakness. inflammation of the lungs with consolidation and exudation.","Pneumonia is an inflammatory condition of the lung primarily affecting the small air sacs known as alveoli.[3][14] Symptoms typically include some combination of productive or dry cough, chest pain, fever, and difficulty breathing.[15] The severity of the condition is variable.",No Pneumonia
1,C0003578,Apnea,A transient absence of spontaneous respiration. Lack of breathing with no movement of the respiratory muscles and no exchange of air in the lungs. This term refers to a disposition to have recurrent episodes of apnea rather than to a single event. [HPO:curators] Temporary absence of breathing or prolonged respiratory failure. cessation of breathing.,"Apnea, BrE: apnoea,[1] is the temporary cessation of breathing. During apnea, there is no movement of the muscles of inhalation,[citation needed] and the volume of the lungs initially remains unchanged. Depending on how blocked the airways are (patency), there may or may not be a flow of gas between the lungs and the environment. If there is sufficient flow, gas exchange within the lungs and cellular respiration would not be severely affected. Voluntarily doing this is called holding one's breath. Apnea may first be diagnosed in childhood, and it is recommended to consult an ENT specialist, allergist or sleep physician to discuss symptoms when noticed; malformation and/or malfunctioning of the upper airways may be observed by an orthodontist.",No Apnea
0,OC3842377,, ,,
1,C0239134,Productive cough,A cough accompanied by expectorated secretions. A cough that produces phlegm or mucus. [],a cough when phlegm is produced that may be coughed up as sputum,No Productive cough
0,C0343484,, ,,
1,C0019825,hoarseness,"An unnaturally deep or rough quality of voice. Harsh and raspy voice secondary to laryngeal infection, voice overuse, irritants inhalation, vocal cord paralysis, vocal cord polyps, and malignant neoplasms arising from or spreading to the larynx. Hoarseness refers to a change in the pitch or quality of the voice, with the voice sounding weak, very breathy, scratchy, or husky. [HPO:probinson]","A hoarse voice, also known as dysphonia or hoarseness,[1] is when the voice involuntarily sounds breathy, raspy, or strained, or is softer in volume or lower in pitch.[2][3][clarification needed] A hoarse voice can be associated with a feeling of unease or scratchiness in the throat.[2] Hoarseness is often a symptom of problems in the vocal folds of the larynx.[2] It may be caused by laryngitis, which in turn may be caused by an upper respiratory infection, a cold, or allergies.[2] Cheering at sporting events, speaking loudly in noisy situations, talking for too long without resting one's voice, singing loudly, or speaking with a voice that's too high or too low can also cause temporary hoarseness.[2] A number of other causes for losing one's voice exist, and treatment is generally by resting the voice and treating the underlying cause.[2] If the cause is misuse or overuse of the voice, drinking plenty of water may alleviate the problems",No hoarseness
1,C0032310,viral pneumonia.,Inflammation of the lung parenchyma that is caused by a viral infection. pneumonia (inflammation of the lungs) caused by a virus.,"Viral pneumonia is a pneumonia caused by a virus. Pneumonia is an infection that causes inflammation in one or both of the lungs. The pulmonary alveoli fill with fluid or pus making it difficult to breathe.[1] Pneumonia can be caused by bacteria, viruses, fungi or parasites.[1] Viruses are the most common cause of pneumonia in children, while in adults bacteria are a more common cause",No viral pneumonia.
